,Decade,Year,Date,Time,Location,Operator,Op_Code,Route,AC Type,Make_Type,Aboard,Fatalities,Accident_Code,Summary
222,1921-1930,1930,04/18/1930,17:00,"Jersey City, New Jersey",Canadian Colonial Airways,Passenger,"Albany, NY - Jersey City, NJ",Fairchild 71,Fairchild,4.0,4.0,Weather,Crashed into power lines 150 feet above the ground in fog.
223,1921-1930,1930,05/10/1930,15:00,"Buenos Aires, Argentina",Aeropostale,Passenger,Buenos Aires - Montevideo,Latecoere 28,Latecoere,4.0,3.0,War,"While flying in foggy conditions at night, the captain lowered his altitude, hit a wave and fiipped over."
224,1921-1930,1930,06/05/1930,15:00,"Boston, Massachusetts",Colonial Air Transport,Passenger,Boston - Newark,Ford Tri-Motor 5,Ford,15.0,1.0,Machine Issue,Crashed into Boston Harbor after losing the right  engine on takeoff.
225,1921-1930,1930,07/07/1930,15:00,"Bornholm, Denmark",Deutsche Lufthansa,Passenger,Stettin - Norway,Dornier Wal,Dornier,8.0,5.0,Landing/Takeoff,"The flying boat landed in a storm in the open ocean due to engine failure. After three hours, the plane was  capsized by a large wave while under tow."
226,1921-1930,1930,07/10/1930,15:00,"Arkansas Pass, Texas",Cross Airways,Passenger,Port Aransas - Kansas City,Lockheed Vega 5,Lockheed,5.0,5.0,War,"The aircraft exploded in the air at an altitude of 4,000 feet shortly after taking off. The plane was flying in an area of fog and thunderstorms."
227,1921-1930,1930,07/21/1930,15:00,"Near Meopham, Kent, England",Walcot Air Line,Passenger,"London - Le touquet, France",Junkers F-13ge,Junkers,6.0,6.0,Unknown,The plane crashed about 10 miles from it's destination. Possible buffeting or irregular ocillation of the horizontal stabilizer leading to separation of the left stabilizer.
228,1921-1930,1930,08/22/1930,15:45,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Passenger,Prague - Bratislava,Ford 5-AT-C Tri Motor,Ford,11.0,10.0,Unknown,Crashed when the pilot made a sharp turn to avoid a chimney and lost control of the aircraft.
229,1921-1930,1930,09/11/1930,15:00,"Croydon, England",Sabena,Passenger,Croydon - Brussels,Sabca F-VII,Sabca,2.0,2.0,Unknown,The plane caught on file shortly after taking off from Croydon.
230,1921-1930,1930,09/25/1930,15:00,"Edmonton, Alberta, Canada",Western Canada Airways,Passenger,Calgary - Moosejaw,Boeing 40,Boeing,3.0,3.0,Landing/Takeoff,The air mail plane crashed in fog  while attempting to land in fog.
231,1921-1930,1930,10/05/1930,02:05,"Near Beauvais, France",Military - British Air Ministry,Military,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,Royal,54.0,48.0,Landing/Takeoff,"The airship was on its inaugural flight from Cardington, England to Karachi, (Pakistan). During a storm on the first night, it suddenly nosedived, leveled briefly, then dived again crashing and burning. Preparations had been rushed for political reasons and there had been no full-speed test flight. In the wind and rain, the outer cover split open at the front so that the two forward gasbags ruptured simultaneously. Dropping ballast raised the nose, but only because there was also dynamic lift, which was promptly lost as speed was reduced, presumably to save the remaining gasbags."
232,1921-1930,1930,10/06/1930,09:45,"Dresden, Germany",Deutsche Lufthansa,Passenger,Berlin - Vienna,Messerschmitt M-20B,Messerschmitt,8.0,8.0,Landing/Takeoff,Crashed into hill while attempting to land after running into a strong gust of wind..
233,1921-1930,1930,10/12/1930,15:00,"La Rache, Morocco",Aeropostale,Passenger,Casablanca - Bahat - Toulouse,Latecoere 28,Latecoere,4.0,4.0,Unknown,The french postal plane crashed into mountains.
234,1921-1930,1930,10/13/1930,15:00,"Perth, Australia",Wings Ltd,Passenger,Unknown,de Havilland DH.80 Puss Moth,de,3.0,3.0,Weather,"Fflying over the Darling Range, aircraft went out of control and dove into a hilly terrain,"
235,1921-1930,1930,10/28/1930,15:00,"Prince Rupert, BC, Canada",Alaska-Washington Airways,Passenger,Unknown,Lockheed Vega,Lockheed,3.0,3.0,Unknown,Crashed while taking off.
236,1921-1930,1930,10/30/1930,15:00,"Near Neufchatel, France",Imperial Airways,Passenger,"Paris, France - London, England",Handley Page W-8,Handley,6.0,3.0,Machine Issue,"Crashed into high ground in fog after losing an engine. The plane was named ""City of Washington."""
237,1921-1930,1930,10/30/1930,15:00,"Brookston, Indiana",Embry Riddle Company,Passenger,Unknown,Pitcairn PA-6 Mailwing,Pitcairn,1.0,1.0,Machine Issue,After developing engine trouble the pilot tried to parachute out of the plane but the parachute got caught on the plane and the pilot was dragged to his death.
238,1921-1930,1930,11/07/1930,15:00,"Off of Santos, Brazil",Syndicato Condor,Passenger,Porto Alegre - Laguna - Rio de Janeiro,Junkers G-24,Junkers,9.0,1.0,Unknown,Crashed into the sea.
239,1921-1930,1930,11/18/1930,20:0,"Techachapi Mountains, California",Pacific Air Transport,Passenger,"Burbank, CA - Oakland, CA",Boeing 40,Boeing,3.0,3.0,Weather,"Crashed into a mountainside at an altitude of 4,500  feet during a snowstorm."
240,1921-1930,1930,12/09/1930,15:00,"Shanghai, China",China National Aviation Corporation,Passenger,Shanghai - Hankow,Loening C-W Air Yaht,Loening,6.0,4.0,War,"The lower right wing of the aircraft hit the mast of  a river boat and the plane flipped over on its back and  crashed onto a river bank. The aircraft was named ""Shanghai""."
241,1931-1940,1931,01/08/1931,22:40,"Melle, Belgium",Sabena,Passenger,Brussels - London,Fokker F-VII,Fokker,2.0,2.0,Weather,"After deciding to return to his base because of fog, the pilot of the mail plane  lowered his altitude and struck the ground."
242,1931-1940,1931,01/22/1931,15:00," Bluff Mountain, Washington",Varney Air Lines,Passenger,Portland - Pasco,Boeing 40,Boeing,1.0,1.0,Weather,The mail plane flew into Bluff Mountain in dense fog.
243,1931-1940,1931,02/08/1931,15:00,"Wairoa, New Zealand",Dominion Air Lines,Passenger,Gisborne - Hastings,Desoutter II,Desoutter,3.0,3.0,Unknown,While droping a mail bag the plane stalled and crashed.
244,1931-1940,1931,02/20/1931,15:00,"Bagot, Manitoba, Canada",Western Canada Airways,Passenger,Winnigeg - Moosejaw,Fokker Universal F-14,Fokker,3.0,2.0,Weather,"The plane carrying mail, crashed into a field, turned over and burst into flames. There was heavy fog in the area of the accident."
245,1931-1940,1931,02/24/1931,15:00,Off Spain,Aeropostale,Passenger,Algiers – Marseille,Latecoere 32,Latecoere,3.0,1.0,Weather,Crashed due to fuel exhaustion after encountering strong headwinds and getting lost.
246,1931-1940,1931,03/21/1931,13:00,"New South Wales, Australia",Australian National Airways,Passenger,Sydney - Melbourne,Avro 10,Avro,8.0,8.0,Weather,Crashed in the Snowy Mountains in poor weather conditions. Wreckage found 10/26/1958.
247,1931-1940,1931,03/31/1931,10:45,"Bazaar, Kansas",Trans Continental and Western Air,Passenger,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,Fokker,8.0,8.0,Weather,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed."
248,1931-1940,1931,04/14/1931,15:00,"Near Letschen, Germany",Deutsche Lufthansa,Passenger,Unknown,Messerschmitt M-20,Messerschmitt,10.0,2.0,Machine Issue,Fuselage failure. Four were seriously injured and both the pilot and radio operator were killed.
249,1931-1940,1931,05/05/1931,23:30,"Burbank, California",Pacific Air Transport,Passenger,San Diego - Los Angeles,Boeing 40,Boeing,2.0,2.0,Landing/Takeoff,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.
250,1931-1940,1931,05/22/1931,15:00,"Wampit, Australia",Guiena Airways,Passenger,Lae - Bulolo,Junkers W-34,Junkers,1.0,1.0,Weather,Hit trees in fog and cashed into the jungle.
251,1931-1940,1931,05/24/1931,22:30,"Bellefonte, Pennsylvania",National Air Transport,Passenger,Unknown,Boeing 95,Boeing,1.0,1.0,Unknown,Crashed into a mountain and burned in poor visibility and icing conditions.
252,1931-1940,1931,06/07/1931,09:00,"Near Sandoway, Burma",Air Orient,Passenger,Saigon - Karachi,Fokker F-VIIB,Fokker,4.0,4.0,Landing/Takeoff,Crashed into a trees and fell into a river 50 km south of Sandoway after experiencing engine trouble while attempting to land at Sandoway in poor visibility and monsoon conditions.
253,1931-1940,1931,06/11/1931,15:00,"Walbridge, Ohio",Rubner Flying Service,Passenger,Unknown,Lockheed Vega 2,Lockheed,3.0,2.0,Landing/Takeoff,A wing buckled as the plane was attempting to land and the plane crashed.
254,1931-1940,1931,06/13/1931,15:00,"Saarbrucken, Germany",Deutsche Lufthansa,Passenger,Cologne - Saarbrucken,Dornier Merkur,Dornier,4.0,4.0,Machine Issue,"After circling in fog for half an hour, the plane rose to about 300 ft. and nose dived into the ground and burst into flames. Engine failure."
255,1931-1940,1931,07/12/1931,15:00,"Chicago, Illinois",Braniff Airlines,Passenger,Chicago - Detroit,Lockheed Vega,Lockheed,2.0,2.0,Unknown,Engine quit while taking off. The plane crashed from a height of 700 feet. The pilot tried to return to the airport  by banking to the right but did not have sufficient altitude to recover.
256,1931-1940,1931,07/14/1931,15:00,"Temora, Australia",Australian Aerial Services,Passenger,Unknown,Lasco Lascowl,Lasco,2.0,2.0,Unknown,Unknown
257,1931-1940,1931,07/21/1931,15:00,"Centralia, Illinois",American Airways,Passenger,Unknown,Pitcairn PA-6 Mailwing,Pitcairn,1.0,1.0,Unknown,Unknown
258,1931-1940,1931,07/24/1931,15:00,"Kurudjevo, Bulgaria",CIDNA,Passenger,Constantinople - Budapest,Fokker F-VII,Fokker,7.0,7.0,Fire,The aircraft caught fire in mid air and crashed.
259,1931-1940,1931,08/09/1931,08:40,"Cincinnati, Ohio",American Airways,Passenger,Cincinnati - Atlanta,Ford 5-AT-C Tri Motor,Ford,6.0,6.0,Machine Issue,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.
260,1931-1940,1931,09/14/1931,20:00,"Chicago, Illinois",Chicago-Detroit Airways,Passenger,Unknown,Lockheed Vega,Lockheed,1.0,1.0,Landing/Takeoff,Crashed in a severe rainstorm while attempting to land.
261,1931-1940,1931,09/15/1931,15:00,"Near Craiova, Oltenia, Romania",CIDNA,Passenger,Paris - Bucharest,Fokker F-VIIb-3m,Fokker,6.0,6.0,Unknown,Crashed in low overcast and darkness while en route.
262,1931-1940,1931,09/16/1931,04:00,"Oakland, California",Pacific Air Transport,Passenger,"Oakland, CA - Seattle, WA",Boeing 40,Boeing,4.0,4.0,Landing/Takeoff,Crashed into San Francisco Bay shortly after taking off from Oakland airport.
263,1931-1940,1931,10/06/1931,15:00,"Novia Scotia, Canada",Deutsche Lufthansa,Passenger,Sydney - New York,Heinkel HE-2,Heinkel,3.0,3.0,Unknown,Crashed into the sea while en route.
264,1931-1940,1931,10/14/1931,15:00,Brazil,Syndicato Condor,Passenger,Unknown,Dornier Wal,Dornier,3.0,3.0,Unknown,Unknown
265,1931-1940,1931,11/05/1931,06:48,"Camden, New Jersey","NY, Phil., Washington AW",Passenger,"Newark, NJ  - Camden, NJ - Washington DC",Lockheed Orion 9,Lockheed,5.0,5.0,Landing/Takeoff,Crashed  onto a golf course and burst into flames after circling the airport twice to land.
266,1931-1940,1931,11/13/1931,15:00,"Sir Lowry's pass, South Africa",Union Airways,Passenger,Durban - Cape Town,De Havilland DH.80,De,3.0,3.0,Weather,"Flew into a thunderstorm over mountains, lost a wing and crashed."
267,1931-1940,1931,11/23/1931,15:00,"Salt Lake City, Utah",Boeing Air Transport,Passenger,Unknown,Boeing 40,Boeing,1.0,1.0,Landing/Takeoff,The mail plane crashed 8 miles west of Salt Lake airport. It is believed the plane overturned while attempting to land in the dark and in a snowstorm.
268,1931-1940,1931,11/24/1931,15:00,"Near Tsinan, China",China National Aviation Corporation,Passenger,Nanking - Peiking,Stinson,Stinso,3.0,3.0,Weather,Crashed into Chingshan mountain range 10 miles south of Tsinan in fog.
269,1931-1940,1931,11/26/1931,22:30,"Pasco, Washington",Varney Air Lines,Passenger,"Portland,  WA - Pasco, WA",Boeing 40,Boeing,1.0,1.0,Landing/Takeoff,Crashed in fog while attempting to land.
270,1931-1940,1931,12/05/1931,15:00,"Kewanee, Illinois",Braniff Airways,Passenger,Kansas City - Chicago,Lockheed Vega 5,Lockheed,6.0,2.0,Landing/Takeoff,Crashed attempting to land at an alternate airfield in a sleet storm. The plane struck the roof of a barn adjacent to the airfield and was destroyed. Icing.
271,1931-1940,1931,12/06/1931,05:45,"Bangkok, Thailand",KLM Royal Dutch Airlines,Passenger,Djakarta - Amsterdam -  Bangkok - Rangoon (Burma),Fokker F-VIIb-3M,Fokker,7.0,5.0,Machine Issue,"Take off  was made with the  emergency hatch in cockpit roof open. This spoiled the lift and aircraft didn't become airborne.  At the end of the field, the aircraft crashed into a dam."
272,1931-1940,1931,12/09/1931,15:00,Off Algiers,Aeropostale,Passenger,Marseille - Algiers,CAMS 56,CAMS,2.0,2.0,Fire,The crew crashed into the sea after a hydraulic failure and fire.
273,1931-1940,1931,12/31/1931,15:00,"Springfield, Ohio",American Airways,Passenger,"Port Colombus, OH - Louisville, KY",Fairchild Pilgrim 100A,Fairchild,5.0,4.0,Weather,"Under orders from his supervisor, the pilot took off in extremely poor weather conditions. After encountering fog he attempted to turn back to the airport but a wing tip struck a knoll and the plane crashed."
274,1931-1940,1932,01/21/1932,15:00,"Colvin Park, Ilinois",Northwest Airways,Passenger,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,Stinson,1.0,1.0,War,"The pilot lost his directions in heavy fog. He decided to bail out and abandoned the aircraft. While doing so, he hit the horizontal stabilizer and was killed. The aircraft then crashed into a residential area,"
275,1931-1940,1932,01/29/1932,16:00,"Lebec, California",Century Pacific Lines,Passenger,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,Stinson,8.0,8.0,Unknown,"Crashed into a canyon, in mountains, during a blizzard. Wreckage found a week later."
276,1931-1940,1932,02/01/1932,15:00,"Off Miami, Florida",Bimini Airways,Passenger,Miami - Bimini,Fairchild,Fairchil,5.0,5.0,Unknown,Disappeared while en route on a 45 minute flight.
277,1931-1940,1932,02/02/1932,15:00,"Rio Vista, California",Boeing Air Transport,Passenger,Unknown,Boeing 40,Boeing,2.0,1.0,Fire,Struck an irrigation ditch and caught fire during landing.
278,1931-1940,1932,02/02/1932,15:00,"Marcellus, Michigan",Transamerican Airlines,Passenger,Chicago - Kalamazoo,Stearman C-3MB,Stearman,1.0,1.0,Weather,The mail plane crashed in a snowstorm.
279,1931-1940,1932,02/27/1932,15:00,"Off Setiba, Brazil",Aeropostale,Passenger,Unknown,Latecoere 28,Latecoere,3.0,3.0,Weather,Crashed into the ocean after flying into a thunderstorm.
280,1931-1940,1932,03/08/1932,02:00,"Saint Louis, Illinois",Century Air Lines,Passenger,Training,Stinson SM-6000B,Stinson,5.0,3.0,Landing/Takeoff,"Crashed into a skeleton of an old windmill, 500 yards from the edge of the field while practicing night landings."
281,1931-1940,1932,03/19/1932,19:30,"Calimesa, California",American Airways,Passenger,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,Fokker,7.0,7.0,Weather,The crew reduced altitude in foggy conditions to maintain visual contact with the ground. Crashed into an apple orchard after striking power lines. One survivor died the next day.
282,1931-1940,1932,03/21/1932,15:00,"Steubenville, Ohio",Trans Continental and Western Air,Passenger,Columbus - McKeesport,Northrop Alpha 3,Northrop,1.0,1.0,Unknown,The mail plane pilot drowned when his parachute tangled in the fuselage and he was dragged into the Ohio River after his plane crashed.
283,1931-1940,1932,03/29/1932,15:00,"Rutbah Wells, Iraq",Air Orient,Passenger,Damascus - Baghdad - Karachi,Farman F-190,Farman,3.0,3.0,Weather,Crashed into the ground during a sand storm.
284,1931-1940,1932,03/31/1932,15:00,"Bedford, Ohio",National Air Transport,Passenger,Unknown,Boeing 95,Boeing,1.0,1.0,Weather,Crashed in a storm.
285,1931-1940,1932,04/21/1932,15:00,"Fort Wayne, Indiana",Transamerica Airlines,Passenger,Unknown,Stearman C-3MB,Stearman,1.0,1.0,Unknown,Crashed while in final approach.
286,1931-1940,1932,05/16/1932,15:00,"Burbank, California",Pacific Air Transport,Passenger,San Diego - Burbank - Oakland,Boeing 40,Boeing,3.0,3.0,Landing/Takeoff,Crashed and burned  in fog while attempting to land at Burbank Airport.
287,1931-1940,1932,05/30/1932,12:00,"Portland, Oregon",Varney Air Lines,Passenger,Unknown,Boeing 40,Boeing,2.0,1.0,War,Crashed in a river after the engine exploded.
288,1931-1940,1932,07/16/1932,08:00,"Mount El Plomo, near Vitacura, Chile",Panagra,Passenger,"Santiago, Chile - Mendosa, Argentina",Ford 5-AT-C Tri Motor,Ford,9.0,9.0,Weather,"The aircraft crashed in a severe snowstorm in the Andes Mountains.  The wreckage was buried by ice and snow and wasn’t found until March 22, 1934."
289,1931-1940,1932,08/12/1932,15:00,"Beyrouth, Lebanon",Air Orient,Passenger, Marseille - Naples - Beyrouth - Saigon,CAMS 53,CAMS,7.0,0.0,Landing/Takeoff,Crrashed and sunk while landing in Beyrough harbor.
290,1931-1940,1932,08/31/1932,00:10,"Tubergen, Germany",A B Aerotransport,Passenger,Amsterdam - Hanover - Copenagen - Malmö,Junkers G-23,Junkers,2.0,2.0,War,The crew radioed they had problems with engine 3. The crew lowered their altitude and attempted an emergency landing. In low visibility and at night they hit a chimney and crashed.
291,1931-1940,1932,09/08/1932,09:00,"Salt Flats, Texas",American Airways,Passenger,El Paso - Dallas,Fokker F-10,Fokker,4.0,3.0,Weather,The mail plane struck a mountain and burned after encountering poor weather conditions.
292,1931-1940,1932,09/17/1932,06:00,"Selsdon Park, England",Air Union,Passenger,Unknown,Liore-et-Olivier 213,Liore-et-Olivier,2.0,1.0,Weather,On approach to Croydon in fog and reduced visibility the plane crashed in a hotel parking lot.
293,1931-1940,1932,09/18/1932,15:00,"Byron Bay, Australia",New England Airways,Passenger,Sydney - Lismore - Brisbane,De Havilland DH-80,De,3.0,3.0,Weather,The left wing and rudder detached in strong winds and turbulence after the pilot made a sharp left turn.
294,1931-1940,1932,10/12/1932,15:00,"Port Etienne, Mauritania",Aeropostale,Passenger,Dakar - Port Etienne - Algiers - Paris,Latecoere 28,Latecoere,1.0,1.0,Unknown,Crashed shortly afer taking off.
295,1931-1940,1932,10/26/1932,15:00,"Villa Monte, Bolivia",Lloyd Aero Boliviano,Passenger,Unknown,Ford Tri-motor 5,Ford,2.0,2.0,Unknown,Former American army flyer Donald Duke was killed when his plane carrying Bolivian army supplies crashed.
296,1931-1940,1932,10/29/1932,15:00,"Ramsgate, England",Deutsche Lufthansa,Passenger,London - Cologne - Berlin,Junkers W-33,Junkers,2.0,2.0,Weather,The mail plane ditched into the English Channel after encountering 60 mile-an-hour gale force winds.
297,1931-1940,1932,11/02/1932,15:00,"Echterpfuhl, Germany",Deutsche Lufthansa,Passenger,Nuremberg - Frankfort,Junkers F-13,Junkers,5.0,5.0,Weather,"Crashed into mountainous terrain in the Spessart mountains in fog, after a wing separated from the aircraft due to overstressing.."
298,1931-1940,1932,11/25/1932,15:00,"Marianna, Arkansas",Hunter Airways,Passenger,"Little Rock, AR - Memphis, TN",Travel Air 6000,Travel,2.0,2.0,Landing/Takeoff,Became lost and circled  until the plane struck an oak tree and crashed onto a island in the bayou.
299,1931-1940,1932,12/14/1932,15:00,"Amarillo, Texas",Trans Continental and Western Air,Passenger,Unknown,Ford 5,Ford,2.0,2.0,Weather,The mail plane crashed in a snowstorm. The pilot died two days later from his injuries.
300,1931-1940,1932,12/14/1932,15:00,"Rocky Ridge, Colorado",Boeing Air Transport,Passenger,Unknown,Boeing 40,Boeing,1.0,1.0,Unknown,Struck a mountain when the pilot reduced altitude to maintain contact with the ground.
301,1931-1940,1932,12/26/1932,15:00,"Wau, Australia",Guinea Airways,Passenger,Unknown,De Havilland DH-60,De,1.0,1.0,Landing/Takeoff,The pilot lost control and crashed after attempting an aerobatic maneuver.
302,1931-1940,1933,01/10/1933,15:00,Algiers,Aeropostale,Passenger,Unknown,CAMS 53,CAMS,3.0,1.0,Unknown,"On the second attempt at taking off, the float plane struck waves and overturned."
303,1931-1940,1933,01/14/1933,15:00,"Newark, New Jersey",Eastern Air Transport,Passenger,Test flight,Curtiss Condor 18,Curtiss,2.0,2.0,Unknown,Went into a vertical bank and crashed and burned.
304,1931-1940,1933,01/20/1933,15:00,"Marietta, Georgia",American Airways,Passenger,Unknown,Stearman 4,Stearman,1.0,1.0,Unknown,Crashed into a mountainside.
305,1931-1940,1933,01/20/1933,02:07,"Bourne, Texas",American Airways,Passenger,Big Springs - San Antonio,Stearman 4,Stearman,1.0,1.0,Unknown,The pilot of the mail plane lost his bearings and crashed into the hillside in poor visibility.
306,1931-1940,1933,01/24/1933,15:00,"Eugene, Oregon",Pacific Air Transport,Passenger,Unknown,Ford 5-AT-D,Ford,3.0,2.0,Unknown,The mail plane crashed while taking off.
307,1931-1940,1933,03/11/1933,15:00,"Near Mendoza, Argentina",Pan American Grace Airways,Passenger,"Mendoza, Argentina - Santiago, Chili",Fairchild FC-2W,Fairchild,2.0,2.0,Unknown,Crashed and burned.
308,1931-1940,1933,03/25/1933,20:07,"Hayward, California",Varney Airlines,Passenger,Burbank - San Francisco,Lockheed Orion 9,Lockheed,3.0,3.0,Weather,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination."
309,1931-1940,1933,03/28/1933,14:30,"Near Dixmude, Belgium",Imperial Airways,Passenger,"Cologne, Germany - Croydon, England",Armstrong Whitworth Argosy II,Armstrong,15.0,15.0,Fire,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger, Dr. Voss,  in an attempt to commit suicide. The plane was named Cit y of Liverpool."
310,1931-1940,1933,04/03/1933,15:00,"Hemkenrode, Germany",Deutsche Lufthansa,Passenger,Unknown,Junkers F-13,Junkers,2.0,1.0,Unknown,Crashed under unknown circumstances.
311,1931-1940,1933,04/04/1933,12:30,"Off Barnegat, New Jersey",Military - U.S. Navy,Military,Unknown,Goodyear-Zeppelin U.S.S. Akron (airship),Goodyear-Zeppelin,76.0,73.0,Weather,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off.  Before it could regain a safe height, it plummeted into the Atlantic Ocean. Decision by the commander to fly into a storm despite the presence of lightning."
312,1931-1940,1933,04/23/1933,07:40,"Near Castrovillari, Calabria, Italy",Air Orient,Passenger,Corfu - Naples,Cams 53-1,Cams,8.0,5.0,Unknown,Crashed into a mountain after encountering a mountain wave..
313,1931-1940,1933,04/29/1933,15:00,"Traunstein, Germany",Eurasia,Passenger,Unknown,Junkers W-34,Junkers,4.0,4.0,Unknown,Crashed on a test flight before delivery to Eurasia in China.
314,1931-1940,1933,05/09/1933,15:00,"Near Viladrau, Spain",Aeropostale - La Tecoere Company,Passenger,Paris - Morroco,Latecoere 28-1,Latecoere,6.0,6.0,Unknown,Crashed after being forced down to the ground by strong downdrafts.
315,1931-1940,1933,06/04/1933,03:15,"Bowling Green, Virginia",Eastern Air Transport,Passenger,Unknown,Pitcairns PA-6,Pitcairns,1.0,1.0,Machine Issue,The mail plane had engine faiure and crashed into a ravine.
316,1931-1940,1933,06/11/1933,17:00,"Glenview, Illinois",Palwaukee,Passenger,Sightseeing,Sikorsky S-38B (flying boat),Sikorsky,9.0,9.0,Landing/Takeoff,"After attempting to land in lake Michigan the pilot encounter rough water and aborted the landing. While taking off the right wing separated from the plane due to the previous rough landing,"
317,1931-1940,1933,07/18/1933,15:40,Aegean Sea,Societa Anonima Aero Expresso Italiana,Passenger,Athens - Rhodes,CMASA Wal (flying boat),CMASA,6.0,6.0,Weather,The float plane was forced to ditch in gale force winds. No trace of the plane or those onboard were ever found.
318,1931-1940,1933,08/29/1933,01:00,"Quay, New Mexico",Trans Continental and Western Air,Passenger,"Amarillo, TX - Albuquerque, NM",Ford 5-AT-B Tri Motor,Ford,5.0,5.0,Landing/Takeoff,Crashed into a mountain slope  during a storm while attempting to make an emergency landing.
319,1931-1940,1933,09/12/1933,15:00,"Near Ljubljana, Yugoslavia",Aeroput,Passenger,"Ljubjana - Susak, Croatia",Farman F-306,Farman,8.0,8.0,Machine Issue,Crashed on the grounds of an insane asylum after losing an engine on takeoff.
320,1931-1940,1933,10/10/1933,21:00,"Chesterton, Indiana",United Air Lines,Passenger,Newark - Cleveland - Chicago - Oakland,Boeing 247,Boeing,10.0,10.0,Weather,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. Eyewitnesses on the ground reported hearing an explosion shortly after 9 p.m., and told of seeing the plane in flames at an altitude of about 1,000 feet. A second explosion followed after the plane crashed.This was the first proven case of sabotage in the history of commercial aviation."
321,1931-1940,1933,10/31/1933,11:20,"Etobon, France",Air France,Passenger,Zurich - Basel - Paris,Farman F-301,Farman,5.0,2.0,Unknown,Unknown
322,1931-1940,1933,11/09/1933,22:35,"Portland, Oregon",United Air Lines,Passenger,"Seattle, WA - Dallas, TX",Boeing 247,Boeing,10.0,4.0,Weather,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.
323,1931-1940,1933,11/10/1933,15:00,"Moriarty, New Mexico",Trans Continental and Western Air,Passenger,Unknown,Northrop Delta,Northrop,1.0,0.0,Fire,The pilot bailed out after the engine caught fire. He was not injured.
324,1931-1940,1933,11/20/1933,15:00,"Near Tsinan, China",China National Aviation Corporation,Passenger,Canton - Shanghai,Stinson,Stinso,8.0,8.0,Weather,Crashed into the Chingshan mountain range in fog.
325,1931-1940,1933,11/21/1933,15:00,"Near Kharkov, Ukraine, USSR",Kalinin,Passenger,Test flight,Kalinin K-7,Kalinin,20.0,14.0,Machine Issue,Crashed due to structural failure during a test flight.
326,1931-1940,1933,11/24/1933,15:00,"Wedron, Illinois",National Air Transport,Passenger,Unknown,Boeing 247,Boeing,2.0,2.0,Unknown,Crashed under unknown circumstances.
327,1931-1940,1933,12/11/1933,16:00,"Hamburg, Germany",Deutsche Lufthansa,Passenger,Berlin - Hamburg,Focke-Wulf A-17,Focke-Wulf,10.0,6.0,Landing/Takeoff,Crashed after striking an obstacle while landing in poor visibility and snow.
328,1931-1940,1933,12/14/1933,15:00,"Eshowe, South Africa",Union Airways,Passenger,Unknown,Junkers W-34,Junkers,6.0,5.0,Weather,Crashed in poor weather conditions while enroute.
329,1931-1940,1933,12/30/1933,13:00,"Near Ruysselede, Belgium",Imperial Airways,Passenger,"Brussels, Belgium - Croydon, England",Avro 10,Avro,10.0,10.0,War,Crashed  into a field in desnse fog after hitting a radio antenna tower which tore off a wing.
330,1931-1940,1934,01/15/1934,18:15,"Corbigny, France",Air France,Passenger,Saigon - Paris,Dewoitine D-332,Dewoitine,14.0,14.0,Weather,"The aircraft crashed while en route in a severe snowstorm.  Icing. The aircraft was named ""Emeraude."""
331,1931-1940,1934,01/20/1934,15:00,"Carombe, France",Air France,Passenger,Unknown,Breguet 280T,Breguet,2.0,2.0,Unknown,Unknown
332,1931-1940,1934,02/23/1934,14:15,"Near Salt Lake City, Utah",Boeing Aircraft Company,Passenger,Salt Lake City - Cheyenne,Boeing 247,Boeing,8.0,8.0,Human Error,"Crashed on top of Parley's Canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne. Pilot error. The crew failed to gain sufficient altitude to clear rapidly rising terrain."
333,1931-1940,1934,02/26/1934,15:00,"Rio de Oro, Morocco",Air France,Passenger,Unknown,Latécoère 28,Latécoère,6.0,1.0,Unknown,Unknown
